awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Grissin Bon Reggio Emilia,Vanoli Cremona,93,95,78,78,120.0,122.5,122.5,120.0,0.585,0.6,0.142,0.168,0.3,0.308,0.141,0.157
Pallacanestro Trieste 2004,Umana Venezia,73,78,72,72,101.1,108.0,108.0,101.1,0.419,0.568,0.083,0.152,0.324,0.086,0.149,0.18600000000000003
Umana Venezia,Fortituto Kontatto Bologna,82,89,73,73,112.2,121.8,121.8,112.2,0.545,0.583,0.13699999999999998,0.13699999999999998,0.3,0.12,0.152,0.48100000000000004
Red October Cantu,Umana Venezia,46,76,69,69,66.8,110.4,110.4,66.8,0.306,0.565,0.23199999999999998,0.16,0.371,0.2,0.129,0.09699999999999999
Umana Venezia,Universo De'Longhi Treviso,79,90,72,72,109.2,124.4,124.4,109.2,0.425,0.6509999999999999,0.083,0.152,0.37799999999999995,0.08800000000000001,0.233,0.396
Umana Venezia,OpenJobMetis Varese,91,93,76,76,119.5,122.2,122.2,119.5,0.556,0.521,0.158,0.11800000000000001,0.226,0.324,0.33299999999999996,0.28600000000000003
Dolomiti Energia Trento,Umana Venezia,69,79,74,74,93.2,106.7,106.7,93.2,0.517,0.49200000000000005,0.18899999999999997,0.18899999999999997,0.07400000000000001,0.297,0.155,0.27
Umana Venezia,Flexx Pistoia,87,89,69,69,125.3,128.2,128.2,125.3,0.5710000000000001,0.5660000000000001,0.14400000000000002,0.10099999999999999,0.281,0.26899999999999996,0.23800000000000002,0.32799999999999996
Umana Venezia ,Grissin Bon Reggio Emilia,104,85,73,73,141.6,115.7,115.7,141.6,0.685,0.557,0.191,0.163,0.361,0.273,0.306,0.27899999999999997
Virtus Roma,Umana Venezia,77,79,72,72,107.2,110.0,110.0,107.2,0.581,0.457,0.16699999999999998,0.139,0.22899999999999998,0.294,0.081,0.23199999999999998
Consultinvest VL Pesaro,Umana Venezia,92,98,79,79,116.8,124.4,124.4,116.8,0.5489999999999999,0.5529999999999999,0.127,0.14,0.267,0.366,0.18100000000000002,0.2
Umana Venezia,Pallacanestro Trieste 2004,81,72,74,74,110.0,97.8,97.8,110.0,0.526,0.483,0.19,0.19,0.22899999999999998,0.28600000000000003,0.345,0.233
Fortituto Kontatto Bologna,Umana Venezia,70,80,68,68,103.4,118.2,118.2,103.4,0.542,0.532,0.222,0.133,0.10300000000000001,0.4,0.375,0.20600000000000002
Umana Venezia,Red October Cantu,77,81,68,68,112.9,118.7,118.7,112.9,0.523,0.486,0.08800000000000001,0.147,0.25,0.405,0.121,0.203
Universo De'Longhi Treviso,Umana Venezia,73,79,72,72,101.9,110.3,110.3,101.9,0.517,0.5,0.154,0.195,0.14800000000000002,0.318,0.203,0.23399999999999999
Flexx Pistoia,Dolomiti Energia Trento,75,88,69,69,108.4,127.2,127.2,108.4,0.449,0.536,0.057999999999999996,0.043,0.278,0.231,0.188,0.18600000000000003
Dolomiti Energia Trento,Grissin Bon Reggio Emilia,84,76,81,81,103.9,94.0,94.0,103.9,0.537,0.449,0.14800000000000002,0.136,0.114,0.152,0.179,0.221
Dolomiti Energia Trento,Red October Cantu,72,78,70,70,103.3,111.9,111.9,103.3,0.478,0.46299999999999997,0.172,0.1,0.325,0.353,0.087,0.221
Universo De'Longhi Treviso,Dolomiti Energia Trento,71,76,73,73,97.6,104.5,104.5,97.6,0.433,0.5,0.138,0.124,0.226,0.171,0.317,0.152
Dolomiti Energia Trento ,Consultinvest VL Pesaro,101,95,85,85,119.1,112.0,112.0,119.1,0.609,0.45899999999999996,0.141,0.165,0.067,0.42200000000000004,0.359,0.384
Dolomiti Energia Trento,Fortituto Kontatto Bologna,68,93,72,72,94.7,129.5,129.5,94.7,0.457,0.6890000000000001,0.125,0.139,0.259,0.121,0.07200000000000001,0.14800000000000002
Virtus Roma,Dolomiti Energia Trento,88,82,84,84,105.0,97.9,97.9,105.0,0.64,0.441,0.263,0.131,0.083,0.40700000000000003,0.263,0.19699999999999998
Pallacanestro Trieste 2004,Dolomiti Energia Trento,53,80,71,71,74.5,112.5,112.5,74.5,0.355,0.531,0.21100000000000002,0.155,0.342,0.243,0.057999999999999996,0.188
Dolomiti Energia Trento,OpenJobMetis Varese,86,81,70,70,123.6,116.4,116.4,123.6,0.731,0.545,0.23,0.172,0.138,0.33299999999999996,0.13,0.35700000000000004
Dolomiti Energia Trento,Flexx Pistoia,74,71,73,73,101.8,97.7,97.7,101.8,0.541,0.377,0.165,0.165,0.16699999999999998,0.375,0.131,0.33799999999999997
Grissin Bon Reggio Emilia ,Dolomiti Energia Trento,103,81,73,73,140.8,110.7,110.7,140.8,0.742,0.507,0.15,0.109,0.121,0.32,0.125,0.19399999999999998
Red October Cantu,Dolomiti Energia Trento,71,79,67,67,106.6,118.6,118.6,106.6,0.49200000000000005,0.531,0.18,0.09,0.33299999999999996,0.33299999999999996,0.091,0.154
Fortituto Kontatto Bologna,Consultinvest VL Pesaro,80,72,69,69,115.5,104.0,104.0,115.5,0.5760000000000001,0.485,0.10099999999999999,0.159,0.188,0.314,0.061,0.121
Fortituto Kontatto Bologna,OpenJobMetis Varese,60,83,66,66,91.0,125.9,125.9,91.0,0.51,0.5429999999999999,0.182,0.106,0.179,0.275,0.135,0.1
Universo De'Longhi Treviso,Fortituto Kontatto Bologna,69,77,72,72,95.7,106.7,106.7,95.7,0.462,0.564,0.152,0.222,0.36,0.18899999999999997,0.138,0.273
